"municipality","state","latitude","longitude"
"AMERICO BRASILIENSE","SP","-21.72","-48.1"
"AMERICO DE CAMPOS","SP","-20.29","-49.73"
"AMETISTA DO SUL","RS","-27.36","-53.18"
"AMONTADA","CE","-3.49","-39.57"
"AMORINOPOLIS","GO","-16.61","-51.09"
"AMPARO","PB","-7.56","-37.06"
"AMPARO","SP","-22.7","-46.76"
"AMPARO DE SAO FRANCISCO","SE","-10.130000000000001","-36.93"
"AMPARO DO SERRA","MG","-20.5","-42.8"
"AMPERE","PR","-25.91","-53.47"
"ANADIA","AL","-9.68","-36.299999999999997"
"ANAGE","BA","-14.61","-41.13"
"ANAHY","PR","-24.71","-53.08"
"ANAJAS","PA","-0.98","-49.94"
"ANAJATUBA","MA","-3.26","-44.62"
"ANALANDIA","SP","-22.12","-47.66"
"ANAMA","AM","-3.58","-61.4"
"ANANAS","TO","-6.36","-48.07"
"ANANINDEUA","PA","-1.36","-48.37"
"ANAPOLIS","GO","-16.32","-48.95"
"ANAPU","PA","-3.47","-51.19"
"ANAPURUS","MA","-3.67","-43.11"
"ANASTACIO","MS","-20.48","-55.8"
"ANAURILANDIA","MS","-22.18","-52.71"
"ANCHIETA","ES","-20.79","-40.65"
"ANCHIETA","SC","-26.53","-53.33"
"ANDARAI","BA","-12.8","-41.33"
"ANDIRA","PR","-23.05","-50.22"
"ANDORINHA","BA","-10.34","-39.83"
"ANDRADAS","MG","-22.06","-46.56"
"ANDRADINA","SP","-20.89","-51.37"
"ANDRE DA ROCHA","RS","-28.63","-51.57"
"ANDRELANDIA","MG","-21.74","-44.3"
"ANGATUBA","SP","-23.49","-48.41"
"ANGELANDIA","MG","-17.600000000000001","-42.16"
"ANGELICA","MS","-22.15","-53.77"
"ANGELIM","PE","-8.89","-36.28"
"ANGELINA","SC","-27.56","-48.98"
"ANGICAL","BA","-12","-44.69"
"ANGICAL DO PIAUI","PI","-6.08","-42.73"
"ANGICO","TO","-6.39","-47.86"
"ANGICOS","RN","-5.66","-36.6"
"ANGRA DOS REIS","RJ","-23","-44.31"
"ANGUERA","BA","-12.15","-39.24"
"ANGULO","PR","-23.19","-51.91"
"ANHANGUERA","GO","-18.329999999999998","-48.21"
"ANHEMBI","SP","-22.78","-48.12"
"ANHUMAS","SP","-22.29","-51.38"
"ANICUNS","GO","-16.46","-49.96"
"ANISIO DE ABREU","PI","-9.18","-43.04"
"ANITA GARIBALDI","SC","-27.68","-51.13"
"ANITAPOLIS","SC","-27.9","-49.12"
"ANORI","AM","-3.77","-61.64"
"ANTA GORDA","RS","-28.97","-52"
"ANTAS","BA","-10.4","-38.33"
"ANTONINA","PR","-25.42","-48.71"
"ANTONINA DO NORTE","CE","-6.77","-39.979999999999997"
"ANTONIO ALMEIDA","PI","-7.21","-44.19"
"ANTONIO CARDOSO","BA","-12.43","-39.119999999999997"
"ANTONIO CARLOS","MG","-21.31","-43.74"
