municipality,state,distributor,regulated_tariff,tariff_start,tariff_end,multiple_distributors
GUARACIAMA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ITACAMBIRA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
JURAMENTO,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"MONTES CLAROS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"OLHOS D'AGUA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO JOAO DA LAGOA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO JOAO DO PACUI",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ARINOS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"BONFINOPOLIS DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"BRASILANDIA DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
BURITIS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CABECEIRA GRANDE",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"DOM BOSCO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
FORMOSO,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"JOAO PINHEIRO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
NATALANDIA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PARACATU,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
RIACHINHO,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SANTA FE DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
UNAI,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"URUANA DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
URUCUIA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
BURITIZEIRO,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
IBIAI,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
JEQUITAI,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"LAGOA DOS PATOS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
LASSANCE,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PIRAPORA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"TRES MARIAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"VARZEA DA PALMA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
BERIZAL,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CURRAL DE DENTRO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"FRUTA DE LEITE",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
INDAIABIRA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
JOSENOPOLIS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
MONTEZUMA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
NINHEIRA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
NOVORIZONTE,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"PADRE CARVALHO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"RIO PARDO DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
RUBELITA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
SALINAS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SANTA CRUZ DE SALINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SANTO ANTONIO DO RETIRO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO JOAO DO PARAISO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
TAIOBEIRAS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"VARGEM GRANDE DO RIO PARDO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ABAETE,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ARAUJOS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
BIQUINHAS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"BOM DESPACHO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CEDRO DO ABAETE",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CORREGO DANTA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"DORES DO INDAIA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"ESTRELA DO INDAIA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
JAPARAIBA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"LAGOA DA PRATA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
LUZ,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"MARTINHO CAMPOS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
MOEMA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"MORADA NOVA DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"NOVA SERRANA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PAINEIRAS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PERDIGAO,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"QUARTEL GERAL",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SERRA DA SAUDADE",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ARCOS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
BAMBUI,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
CAPITOLIO,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CORREGO FUNDO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
DORESOPOLIS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
FORMIGA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
IGUATAMA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
MEDEIROS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PAINS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PIMENTA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PIUMHI,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO ROQUE DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
TAPIRAI,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"VARGEM BONITA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CONCEICAO DO PARA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
FLORESTAL,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
IGARATINGA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"LEANDRO FERREIRA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
MARAVILHAS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"ONCA DE PITANGUI",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PAPAGAIOS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"PARA DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PEQUI,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PITANGUI,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
POMPEU,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO JOSE DA VARGINHA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ALPINOPOLIS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
CAPETINGA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CARMO DO RIO CLARO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
CASSIA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
CLARAVAL,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CONCEICAO DA APARECIDA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
DELFINOPOLIS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"FORTALEZA DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
IBIRACI,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"ITAU DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
JACUI,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PASSOS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PRATAPOLIS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO JOAO BATISTA DO GLORIA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO JOSE DA BARRA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO SEBASTIAO DO PARAISO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO TOMAS DE AQUINO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
AGUANIL,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"BOM SUCESSO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CAMPO BELO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CANA VERDE",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
CANDEIAS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
CRISTAIS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
IBITURUNA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
IJACI,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
INGAI,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ITUMIRIM,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
LAVRAS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
NEPOMUCENO,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PERDOES,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"RIBEIRAO VERMELHO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SANTANA DO JACARE",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SANTO ANTONIO DO AMPARO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"BOA ESPERANCA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CAMPO DO MEIO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CAMPOS GERAIS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
CAREACU,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CARMO DA CACHOEIRA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
COQUEIRAL,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
CORDISLANDIA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"ELOI MENDES",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
GUAPE,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ILICINEA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"MONSENHOR PAULO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SANTANA DA VARGEM",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO GONCALO DO SAPUCAI",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"TRES PONTAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
TURVOLANDIA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
VARGINHA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ARAXA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CAMPOS ALTOS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
IBIA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"NOVA PONTE",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PEDRINOPOLIS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PERDIZES,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PRATINHA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SANTA JULIANA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SANTA ROSA DA SERRA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
TAPIRA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
CARNEIRINHO,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"COMENDADOR GOMES",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
FRONTEIRA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
FRUTAL,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ITAPAGIPE,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ITURAMA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"LIMEIRA DO OESTE",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PIRAJUBA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PLANURA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO FRANCISCO DE SALES",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"UNIAO DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ARAPUA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CARMO DO PARANAIBA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
GUARDA-MOR,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
LAGAMAR,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"LAGOA FORMOSA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"LAGOA GRANDE",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
MATUTINA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"PATOS DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"PRESIDENTE OLEGARIO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"RIO PARANAIBA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO GONCALO DO ABAETE",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO GOTARDO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
TIROS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"VARJAO DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
VAZANTE,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"ABADIA DOS DOURADOS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
COROMANDEL,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CRUZEIRO DA FORTALEZA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
DOURADOQUARA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"ESTRELA DO SUL",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
GRUPIARA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
GUIMARANIA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"IRAI DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"MONTE CARMELO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PATROCINIO,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ROMARIA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SERRA DO SALITRE",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ARAPORA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CACHOEIRA DOURADA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CAMPINA VERDE",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
CANAPOLIS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
CAPINOPOLIS,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
CENTRALINA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
GURINHATA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
IPIACU,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ITUIUTABA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"MONTE ALEGRE DE MINAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
PRATA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SANTA VITORIA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"SAO SIMAO",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,1
UBERLANDIA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"AGUA COMPRIDA",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CAMPO FLORIDO",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
"CONCEICAO DAS ALAGOAS",MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
CONQUISTA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
DELTA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
SACRAMENTO,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
UBERABA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
VERISSIMO,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,0
ACARI,RN,COSERN,0.7758,2026-04-22,2027-04-21,0
ITABERAI,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
PLANALTINA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
PONTALINA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
ALOANDIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
ARUANA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
BELEM,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
ANANINDEUA,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
MARITUBA,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
BAIAO,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
CAMETA,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
MOJU,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
SALVATERRA,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
BARCARENA,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
ABAETETUBA,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
"PONTAL DO PARANA",PR,COPEL-DIS,0.64242,2026-01-01,2026-06-23,0
"CAMPINA GRANDE DO SUL",PR,COPEL-DIS,0.64242,2026-01-01,2026-06-23,0
"QUATRO BARRAS",PR,COPEL-DIS,0.64242,2026-01-01,2026-06-23,0
ARCOVERDE,PE,"NEOENERGIA PE",0.79886,2026-04-29,2027-04-28,0
CONDADO,PE,"NEOENERGIA PE",0.79886,2026-04-29,2027-04-28,0
"FERNANDO DE NORONHA",PE,"NEOENERGIA PE",0.79886,2026-04-29,2027-04-28,0
FLORES,PE,"NEOENERGIA PE",0.79886,2026-04-29,2027-04-28,0
GARANHUNS,PE,"NEOENERGIA PE",0.79886,2026-04-29,2027-04-28,0
PETROLINA,PE,"NEOENERGIA PE",0.79886,2026-04-29,2027-04-28,0
TABIRA,PE,"NEOENERGIA PE",0.79886,2026-04-29,2027-04-28,0
PINHAIS,PR,COPEL-DIS,0.64242,2026-01-01,2026-06-23,0
LONDRINA,PR,COPEL-DIS,0.64242,2026-01-01,2026-06-23,0
"PARAIBA DO SUL",RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,1
"TRES RIOS",RJ,"LIGHT SESA",0.88056,2026-03-15,2027-03-14,1
"SANTANA DO DESERTO",MG,"LIGHT SESA",0.88056,2026-03-15,2027-03-14,1
"SIMAO PEREIRA",MG,"LIGHT SESA",0.88056,2026-03-15,2027-03-14,1
"COMENDADOR LEVY GASPARIAN",RJ,"LIGHT SESA",0.88056,2026-03-15,2027-03-14,0
CHIADOR,MG,"LIGHT SESA",0.88056,2026-03-15,2027-03-14,1
SAPUCAIA,RJ,"LIGHT SESA",0.88056,2026-03-15,2027-03-14,0
"BELFORD ROXO",RJ,"LIGHT SESA",0.88056,2026-03-15,2027-03-14,0
MESQUITA,RJ,"LIGHT SESA",0.88056,2026-03-15,2027-03-14,0
"NOVA IGUACU",RJ,"LIGHT SESA",0.88056,2026-03-15,2027-03-14,0
"DUQUE DE CAXIAS",RJ,"LIGHT SESA",0.88056,2026-03-15,2027-03-14,1
NILOPOLIS,RJ,"LIGHT SESA",0.88056,2026-03-15,2027-03-14,0
"RIO DE JANEIRO",RJ,"LIGHT SESA",0.88056,2026-03-15,2027-03-14,0
"SAO JOAO DE MERITI",RJ,"LIGHT SESA",0.88056,2026-03-15,2027-03-14,0
"BOM JESUS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
INACIOLANDIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
PORANGATU,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
MOZARLANDIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
PIRACANJUBA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
LUZIANIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
ORIZONA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
ITAPURANGA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
GUARAITA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"ESTRELA DO NORTE",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
MORRINHOS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
IPAMERI,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
CRISTALINA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"MONTES CLAROS DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
DIORAMA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SANTA TEREZINHA DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"MIMOSO DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"PADRE BERNARDO",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
CACU,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
IACIARA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"MONTE ALEGRE",PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
ITAITUBA,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
ASSIS,SP,EDEVP,,,,0
"AFONSO CUNHA",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"AGUA DOCE DO MARANHAO",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
ALCANTARA,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"ALDEIAS ALTAS",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"ALTAMIRA DO MARANHAO",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"ALTO ALEGRE DO PINDARE",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"ALTO ALEGRE DO MARANHAO",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"ALTO PARNAIBA",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"AMAPA DO MARANHAO",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"AMARANTE DO MARANHAO",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
ANAJATUBA,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
ANAPURUS,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
APICUM-ACU,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
ARAGUANA,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
ARAIOSES,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
ARAME,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
ARARI,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
AXIXA,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
BACABEIRA,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
BACURI,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
BACURITUBA,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
BALSAS,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"BARAO DE GRAJAU",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"BARRA DO CORDA",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
BARREIRINHAS,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"BELA VISTA DO MARANHAO",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
BELAGUA,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"BENEDITO LEITE",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
BEQUIMAO,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"BERNARDO DO MEARIM",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"BOM JARDIM",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"BOM JESUS DAS SELVAS",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"BOM LUGAR",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
BREJO,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"BREJO DE AREIA",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
BURITI,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"BURITI BRAVO",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
BURITICUPU,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
BURITIRANA,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"CACHOEIRA GRANDE",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
CAJAPIO,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
CAJARI,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"CAMPESTRE DO MARANHAO",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
"CANDIDO MENDES",MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
CANTANHEDE,MA,"EQUATORIAL MA",0.84318,2026-01-01,2026-08-27,0
